id;nombre;tipo;zona
1;International Papelería circuit;Bloque Métricas reintermediate;plug-and-play
2;engineer intuitive;Interacciones;scalable Personal driver
3;Valenciana;Plástico;Deportes Salud
4;Futuro;rich Blanco;Avon
5;Ecuador;Usabilidad hack interface;XSS
6;experiences Verde next-generation;Yemen;Guapa no-volátil
7;deposit Azul Singapur;dynamic;Bloque Joyería Nuevo
8;HTTP Afghani Bélgica;invoice;Hormigon Berkshire
9;neural Informática de;withdrawal calculating;out-of-the-box óptima compress
10;PCI Funcionario;tolerancia Interno;XSS
